Station Name,Station Code,Lat,Long
bishnathganj,BTJ,25.801533,81.935053
bharatkup,BTKP,25.215740,80.771532
bethampurdi,BTPD,17.542910,80.570498
basta,BTS,21.702876,87.063769
bethuadahari,BTY,23.611325,88.384494
bhutakiabhimsa,BUBR,23.533682,70.887077
burhar,BUH,23.212924,81.528100
babupeth,BUPH,19.923062,79.312480
baytu,BUT,25.897309,71.768467
bhadbhadaghat,BVB,23.374801,77.535509
biswan,BVN,27.489226,80.990746
bhimavaram town,BVRT,16.547519,81.519014
bhinwaliya,BWA,25.559669,73.492524
butewala,BWF,31.080678,74.897639
bawal,BWL,28.070068,76.572177
bharatwada,BWRA,21.231267,79.016697
balod,BXA,20.740806,81.205202
belrayan,BXM,28.379314,80.915961
byculla,BY,18.975942,72.832784
belha,BYL,21.961639,82.076926
baiyyappanahali,BYPL,12.990874,77.651554
bhaini khurd,BZK,29.751994,76.955776
barsola,BZO,29.394688,76.232315
barara,RAA,30.212964,77.037905
binaiki,VNK,22.720210,79.902711
bishnupur,VSU,23.064968,87.301303
bagaha,BUG,27.130226,84.067336
bakthiyarpur,BKP,25.455888,85.532252
ballia,BUI,25.760552,84.153121
bandikui junction,BKI,27.039327,76.566678
bangarapet,BWY,12.985113,78.178729
barabanki junction,BBK,26.935366,81.181172
barddhaman junction,BWN,23.249139,87.870529
barkakana,BRKA,23.624137,85.470097
barwadih,BRWD,23.843864,84.119006
beas,BEAS,31.520020,75.291231
bettiah,BTH,26.805361,84.522368
bhagalpur,BGP,25.242250,86.977165
bhatkal,BTKL,13.989313,74.566008
bhimavaram junction,BVRM,16.542377,81.539429
bhojipura,BPR,28.494493,79.447650
bhusaval,BSL,21.046936,75.788358
bilaspur junction,BSP,22.057323,82.167513
bitragunta,BTTR,14.768554,79.983405
borivali,BVI,19.222119,72.855338
burhanpur,BAU,21.334612,76.198915
babina,BAB,25.237913,78.451392
bhabhar,BAH,24.065088,71.615549
budalur,BAL,10.783209,78.981748
berhampur,BAM,19.296241,84.797099
banmor,BAO,26.355437,78.098791
baral,BARL,28.494502,77.809861
balwara,BAWA,25.502804,72.554319
bhadbhunja,BBAI,21.162920,73.665789
baribrahman,BBMN,32.639095,74.916377
barbatpur,BBTR,22.196731,77.920403
bachwara junction,BCA,25.581398,85.900230
balichak,BCK,22.357748,87.553353
bhachaubg,BCOB,23.304192,70.350318
bhuchchu,BCU,23.304217,70.350281
badodar,BDDR,21.339956,70.274662
badhal,BDHL,27.251983,75.451789
bodinayakkanur,BDNK,10.020830,77.346547
bhadravati,BDVT,13.842429,75.702782
biradhwal,BDWL,29.174913,73.897006
bihiya,BEA,25.558761,84.448877
bagdihi,BEH,21.951173,84.186405
birohe,BEO,25.172150,82.457360
bero,BERO,23.548188,86.726439
borhat,BFD,27.163951,95.277047
bhesana,BFY,23.498325,72.330886
bagbahra,BGBR,21.046102,82.383931
bhagat ki kothi,BGKT,26.252995,73.014484
bhongaon,BGQ,27.258788,79.165524
bagratawa,BGTA,22.631099,77.994129
begdewadi,BGW,18.700724,73.708946
badli,BHD,28.746377,77.137136
bheja,BHJA,18.473010,82.685433
bhulanpur,BHLP,25.287600,82.957122
bhattu,BHT,29.386761,75.339490
bhitoni,BHTN,23.142656,79.673862
bhoma,BHV,22.171241,79.689374
bihara,BHZ,24.952912,92.644269
bidar,BIDR,17.911666,77.515647
bijoor,BIJR,13.822690,74.642540
